区站号,年,月,日,20-20时降水量/0.1mm,平均气温/0.1℃
56038,2017,2,28,0,-69
56038,2017,2,27,12,-76
56038,2017,2,26,0,-101
56038,2017,2,25,8,-92
56038,2017,2,24,10,-86
56038,2017,2,23,10,-55
56038,2017,2,22,10,-51
56038,2017,2,21,8,-38
56038,2017,2,20,0,-8
56038,2017,2,19,0,-27
56038,2017,2,18,7,-42
56038,2017,2,17,0,-50
56038,2017,2,16,0,-47
56038,2017,2,15,0,-76
56038,2017,2,14,0,-69
56038,2017,2,13,0,-56
56038,2017,2,12,0,-81
56038,2017,2,11,0,-83
56038,2017,2,10,0,-33
56038,2017,2,9,0,-40
56038,2017,2,8,0,-66
56038,2017,2,7,4,-45
56038,2017,2,6,0,12
56038,2017,2,5,0,-28
56038,2017,2,4,0,-66
56038,2017,2,3,0,-82
56038,2017,2,2,1,-89
56038,2017,2,1,3,-81
56038,2017,1,31,11,-102
56038,2017,1,30,0,-68
56038,2017,1,29,16,-96
56038,2017,1,28,0,-36
56038,2017,1,27,0,-44
56038,2017,1,26,0,-55
56038,2017,1,25,0,-75
56038,2017,1,24,0,-83
56038,2017,1,23,0,-48
56038,2017,1,22,0,-85
56038,2017,1,21,0,-106
56038,2017,1,20,0,-78
56038,2017,1,19,0,-81
56038,2017,1,18,0,-73
56038,2017,1,17,0,-87
56038,2017,1,16,0,-97
56038,2017,1,15,0,-95
56038,2017,1,14,0,-134
56038,2017,1,13,0,-151
56038,2017,1,12,19,-149
56038,2017,1,11,4,-130
56038,2017,1,10,0,-110
56038,2017,1,9,0,-114
56038,2017,1,8,0,-119
56038,2017,1,7,0,-117
56038,2017,1,6,0,-108
56038,2017,1,5,0,-123
56038,2017,1,4,0,-89
56038,2017,1,3,0,-111
56038,2017,1,2,0,-104
56038,2017,1,1,0,-83
56038,2016,12,31,0,-88
56038,2016,12,30,0,-70
56038,2016,12,29,0,-63
56038,2016,12,28,0,-98
56038,2016,12,27,0,-152
56038,2016,12,26,11,-129
56038,2016,12,25,0,-39
56038,2016,12,24,0,-47
56038,2016,12,23,0,-8
56038,2016,12,22,0,-87
56038,2016,12,21,0,-80
56038,2016,12,20,0,-58
56038,2016,12,19,0,-75
56038,2016,12,18,0,-59
56038,2016,12,17,0,-57
56038,2016,12,16,0,-102
56038,2016,12,15,0,-66
56038,2016,12,14,0,-65
56038,2016,12,13,0,-61
56038,2016,12,12,0,-51
56038,2016,12,11,0,-49
56038,2016,12,10,0,-55
56038,2016,12,9,0,-56
56038,2016,12,8,0,-65
56038,2016,12,7,0,-75
56038,2016,12,6,0,-55
56038,2016,12,5,0,-63
56038,2016,12,4,0,-82
56038,2016,12,3,0,-81
56038,2016,12,2,1,-55
56038,2016,12,1,0,-44
56038,2016,11,30,0,-80
56038,2016,11,29,0,-61
56038,2016,11,28,0,-41
56038,2016,11,27,0,-42
56038,2016,11,26,0,-75
56038,2016,11,25,0,-27
56038,2016,11,24,0,-5
56038,2016,11,23,0,-11
56038,2016,11,22,0,-2
56038,2016,11,21,0,-34
56038,2016,11,20,0,-38
56038,2016,11,19,0,-10
56038,2016,11,18,0,-48
56038,2016,11,17,0,-45
56038,2016,11,16,1,-33
56038,2016,11,15,0,-34
56038,2016,11,14,0,-27
56038,2016,11,13,0,-23
56038,2016,11,12,0,-28
56038,2016,11,11,0,-37
56038,2016,11,10,0,-67
56038,2016,11,9,0,-39
56038,2016,11,8,0,-29
56038,2016,11,7,0,-27
56038,2016,11,6,0,-12
56038,2016,11,5,0,-28
56038,2016,11,4,0,-30
56038,2016,11,3,0,-38
56038,2016,11,2,1,-28
56038,2016,11,1,0,-43
56038,2016,10,31,0,-45
56038,2016,10,30,39,-45
56038,2016,10,29,0,-62
56038,2016,10,28,34,-29
56038,2016,10,27,49,-15
56038,2016,10,26,0,33
56038,2016,10,25,0,23
56038,2016,10,24,0,4
56038,2016,10,23,0,5
56038,2016,10,22,0,10
56038,2016,10,21,0,8
56038,2016,10,20,0,-2
56038,2016,10,19,23,-7
56038,2016,10,18,27,-28
56038,2016,10,17,0,-37
56038,2016,10,16,0,-1
56038,2016,10,15,0,-18
56038,2016,10,14,186,21
56038,2016,10,13,40,1
56038,2016,10,12,209,-3
56038,2016,10,11,198,11
56038,2016,10,10,219,16
56038,2016,10,9,35,26
56038,2016,10,8,88,48
56038,2016,10,7,16,28
56038,2016,10,6,29,37
56038,2016,10,5,93,37
56038,2016,10,4,28,57
56038,2016,10,3,0,70
56038,2016,10,2,0,50
56038,2016,10,1,0,51
56038,2016,9,30,9,36
56038,2016,9,29,4,43
56038,2016,9,28,2,34
56038,2016,9,27,5,39
56038,2016,9,26,22,46
56038,2016,9,25,0,62
56038,2016,9,24,6,53
56038,2016,9,23,42,33
56038,2016,9,22,24,36
56038,2016,9,21,0,32
56038,2016,9,20,4,24
56038,2016,9,19,18,49
56038,2016,9,18,29,56
56038,2016,9,17,78,61
56038,2016,9,16,1,68
56038,2016,9,15,0,72
56038,2016,9,14,36,67
56038,2016,9,13,2,64
56038,2016,9,12,4,64
56038,2016,9,11,0,34
56038,2016,9,10,1,48
56038,2016,9,9,0,69
56038,2016,9,8,0,89
56038,2016,9,7,63,74
56038,2016,9,6,0,72
56038,2016,9,5,8,76
56038,2016,9,4,73,81
56038,2016,9,3,71,77
56038,2016,9,2,25,86
56038,2016,9,1,47,100
56038,2016,8,31,87,95
56038,2016,8,30,204,77
56038,2016,8,29,80,93
56038,2016,8,28,22,115
56038,2016,8,27,0,119
56038,2016,8,26,0,117
56038,2016,8,25,12,120
56038,2016,8,24,21,102
56038,2016,8,23,1,133
56038,2016,8,22,2,122
56038,2016,8,21,0,131
56038,2016,8,20,125,117
56038,2016,8,19,42,134
56038,2016,8,18,0,139
56038,2016,8,17,0,128
56038,2016,8,16,0,127
56038,2016,8,15,0,134
56038,2016,8,14,13,132
56038,2016,8,13,33,122
56038,2016,8,12,0,113
56038,2016,8,11,0,97
56038,2016,8,10,0,110
56038,2016,8,9,0,107
56038,2016,8,8,0,107
56038,2016,8,7,1,93
56038,2016,8,6,0,102
56038,2016,8,5,133,90
56038,2016,8,4,97,94
56038,2016,8,3,1,106
56038,2016,8,2,11,89
56038,2016,8,1,0,86
56038,2016,7,31,0,103
56038,2016,7,30,0,99
56038,2016,7,29,13,88
56038,2016,7,28,0,80
56038,2016,7,27,0,87
56038,2016,7,26,0,82
56038,2016,7,25,72,85
56038,2016,7,24,0,107
56038,2016,7,23,12,115
56038,2016,7,22,0,103
56038,2016,7,21,66,103
56038,2016,7,20,0,129
56038,2016,7,19,0,122
56038,2016,7,18,69,108
56038,2016,7,17,0,118
56038,2016,7,16,2,108
56038,2016,7,15,0,98
56038,2016,7,14,0,91
56038,2016,7,13,49,81
56038,2016,7,12,33,106
56038,2016,7,11,14,125
56038,2016,7,10,33,134
56038,2016,7,9,50,123
56038,2016,7,8,193,124
56038,2016,7,7,26,125
56038,2016,7,6,56,112
56038,2016,7,5,180,101
56038,2016,7,4,150,82
56038,2016,7,3,116,81
56038,2016,7,2,0,77
56038,2016,7,1,156,54
56038,2016,6,30,8,94
56038,2016,6,29,22,92
56038,2016,6,28,0,107
56038,2016,6,27,7,92
56038,2016,6,26,140,99
56038,2016,6,25,12,96
56038,2016,6,24,82,116
56038,2016,6,23,36,123
56038,2016,6,22,2,112
56038,2016,6,21,7,91
56038,2016,6,20,31,90
56038,2016,6,19,0,110
56038,2016,6,18,29,119
56038,2016,6,17,0,111
56038,2016,6,16,0,84
56038,2016,6,15,0,88
56038,2016,6,14,40,60
56038,2016,6,13,0,108
56038,2016,6,12,0,74
56038,2016,6,11,1,68
56038,2016,6,10,2,70
56038,2016,6,9,90,54
56038,2016,6,8,37,67
56038,2016,6,7,0,70
56038,2016,6,6,82,65
56038,2016,6,5,0,73
56038,2016,6,4,25,62
56038,2016,6,3,2,35
56038,2016,6,2,21,29
56038,2016,6,1,41,59
56038,2016,5,31,7,87
56038,2016,5,30,40,66
56038,2016,5,29,0,60
56038,2016,5,28,31,50
56038,2016,5,27,93,31
56038,2016,5,26,38,58
56038,2016,5,25,4,52
56038,2016,5,24,0,85
56038,2016,5,23,0,53
56038,2016,5,22,27,53
56038,2016,5,21,70,43
56038,2016,5,20,0,51
56038,2016,5,19,0,51
56038,2016,5,18,36,43
56038,2016,5,17,0,57
56038,2016,5,16,18,33
56038,2016,5,15,0,24
56038,2016,5,14,90,6
56038,2016,5,13,0,70
56038,2016,5,12,0,81
56038,2016,5,11,0,71
56038,2016,5,10,5,38
56038,2016,5,9,7,16
56038,2016,5,8,80,14
56038,2016,5,7,86,37
56038,2016,5,6,0,56
56038,2016,5,5,3,48
56038,2016,5,4,0,59
56038,2016,5,3,0,49
56038,2016,5,2,0,31
56038,2016,5,1,0,35
56038,2016,4,30,26,6
56038,2016,4,29,22,3
56038,2016,4,28,8,8
56038,2016,4,27,5,-1
56038,2016,4,26,14,-12
56038,2016,4,25,23,-5
56038,2016,4,24,55,3
56038,2016,4,23,0,8
56038,2016,4,22,4,11
56038,2016,4,21,48,-4
56038,2016,4,20,3,-1
56038,2016,4,19,46,36
56038,2016,4,18,0,27
56038,2016,4,17,0,-34
56038,2016,4,16,0,-10
56038,2016,4,15,20,-35
56038,2016,4,14,0,10
56038,2016,4,13,44,-18
56038,2016,4,12,22,-11
56038,2016,4,11,25,-3
56038,2016,4,10,4,11
56038,2016,4,9,34,1
56038,2016,4,8,13,8
56038,2016,4,7,50,11
56038,2016,4,6,16,12
56038,2016,4,5,1,44
56038,2016,4,4,0,70
56038,2016,4,3,0,33
56038,2016,4,2,0,22
56038,2016,4,1,0,9
56038,2016,3,31,0,-10
56038,2016,3,30,0,-58
56038,2016,3,29,90,-42
56038,2016,3,28,1,11
56038,2016,3,27,0,14
56038,2016,3,26,0,-31
56038,2016,3,25,0,-99
56038,2016,3,24,4,-117
56038,2016,3,23,98,-58
56038,2016,3,22,22,-38
56038,2016,3,21,0,-20
56038,2016,3,20,2,-8
56038,2016,3,19,0,-21
56038,2016,3,18,0,-39
56038,2016,3,17,8,-62
56038,2016,3,16,10,-26
56038,2016,3,15,0,-11
56038,2016,3,14,1,20
56038,2016,3,13,15,5
56038,2016,3,12,0,-4
56038,2016,3,11,0,-61
56038,2016,3,10,0,-70
56038,2016,3,9,0,-58
56038,2016,3,8,43,-48
56038,2016,3,7,30,-18
56038,2016,3,6,0,-36
56038,2016,3,5,0,-79
56038,2016,3,4,0,-41
56038,2016,3,3,0,-60
56038,2016,3,2,0,-71
56038,2016,3,1,0,-64
56038,2016,2,29,0,-97
56038,2016,2,28,0,-102
56038,2016,2,27,0,-104
56038,2016,2,26,0,-134
56038,2016,2,25,0,-114
56038,2016,2,24,7,-101
56038,2016,2,23,8,-100
56038,2016,2,22,3,-83
56038,2016,2,21,22,-28
56038,2016,2,20,0,-71
56038,2016,2,19,0,-76
56038,2016,2,18,0,-68
56038,2016,2,17,0,-48
56038,2016,2,16,0,-39
56038,2016,2,15,0,-77
56038,2016,2,14,0,-63
56038,2016,2,13,0,-73
56038,2016,2,12,6,-50
56038,2016,2,11,0,-56
56038,2016,2,10,0,-79
56038,2016,2,9,8,-61
56038,2016,2,8,0,-73
56038,2016,2,7,0,-104
56038,2016,2,6,0,-93
56038,2016,2,5,0,-71
56038,2016,2,4,0,-104
56038,2016,2,3,0,-95
56038,2016,2,2,1,-101
56038,2016,2,1,1,-92
56038,2016,1,31,2,-81
56038,2016,1,30,0,-84
56038,2016,1,29,0,-107
56038,2016,1,28,0,-140
56038,2016,1,27,1,-93
56038,2016,1,26,0,-116
56038,2016,1,25,0,-173
56038,2016,1,24,0,-186
56038,2016,1,23,1,-179
56038,2016,1,22,0,-113
56038,2016,1,21,3,-116
56038,2016,1,20,35,-112
56038,2016,1,19,0,-82
56038,2016,1,18,0,-106
56038,2016,1,17,0,-111
56038,2016,1,16,0,-115
56038,2016,1,15,0,-102
56038,2016,1,14,0,-92
56038,2016,1,13,0,-97
56038,2016,1,12,0,-45
56038,2016,1,11,0,-117
56038,2016,1,10,3,-97
56038,2016,1,9,0,-107
56038,2016,1,8,0,-109
56038,2016,1,7,9,-130
56038,2016,1,6,4,-89
56038,2016,1,5,0,-103
56038,2016,1,4,4,-134
56038,2016,1,3,1,-118
56038,2016,1,2,0,-129
56038,2016,1,1,1,-100
56038,2015,12,31,0,-100
56038,2015,12,30,0,-112
56038,2015,12,29,0,-93
56038,2015,12,28,1,-65
56038,2015,12,27,0,-73
56038,2015,12,26,0,-151
56038,2015,12,25,5,-153
56038,2015,12,24,0,-125
56038,2015,12,23,0,-92
56038,2015,12,22,0,-126
56038,2015,12,21,5,-80
56038,2015,12,20,0,-117
56038,2015,12,19,12,-113
56038,2015,12,18,0,-131
56038,2015,12,17,0,-190
56038,2015,12,16,0,-172
56038,2015,12,15,15,-112
56038,2015,12,14,23,-113
56038,2015,12,13,0,-72
56038,2015,12,12,0,-68
56038,2015,12,11,0,-48
56038,2015,12,10,0,-87
56038,2015,12,9,0,-96
56038,2015,12,8,0,-104
56038,2015,12,7,2,-120
56038,2015,12,6,0,-102
56038,2015,12,5,0,-91
56038,2015,12,4,0,-92
56038,2015,12,3,0,-99
56038,2015,12,2,0,-101
56038,2015,12,1,0,-74
56038,2015,11,30,0,-67
56038,2015,11,29,0,-72
56038,2015,11,28,0,-53
56038,2015,11,27,0,-31
56038,2015,11,26,0,-54
56038,2015,11,25,0,-55
56038,2015,11,24,0,-25
56038,2015,11,23,0,-20
56038,2015,11,22,0,-26
56038,2015,11,21,0,7
56038,2015,11,20,0,-14
56038,2015,11,19,0,-56
56038,2015,11,18,0,-61
56038,2015,11,17,0,-17
56038,2015,11,16,0,-35
56038,2015,11,15,0,-27
56038,2015,11,14,0,-7
56038,2015,11,13,0,-50
56038,2015,11,12,0,-53
56038,2015,11,11,4,-47
56038,2015,11,10,9,-28
56038,2015,11,9,0,-16
56038,2015,11,8,0,-37
56038,2015,11,7,2,-38
56038,2015,11,6,0,-24
56038,2015,11,5,11,-18
56038,2015,11,4,1,-13
56038,2015,11,3,0,-23
56038,2015,11,2,0,-21
56038,2015,11,1,0,-31
56038,2015,10,31,0,-34
56038,2015,10,30,0,-21
56038,2015,10,29,0,-13
56038,2015,10,28,0,-5
56038,2015,10,27,0,-6
56038,2015,10,26,0,0
56038,2015,10,25,0,2
56038,2015,10,24,21,3
56038,2015,10,23,0,7
56038,2015,10,22,0,10
56038,2015,10,21,0,32
56038,2015,10,20,0,15
56038,2015,10,19,0,-9
56038,2015,10,18,0,-17
56038,2015,10,17,31,-13
56038,2015,10,16,0,8
56038,2015,10,15,0,-7
56038,2015,10,14,0,7
56038,2015,10,13,0,1
56038,2015,10,12,0,0
56038,2015,10,11,0,-5
56038,2015,10,10,0,1
56038,2015,10,9,0,21
56038,2015,10,8,3,23
56038,2015,10,7,8,21
56038,2015,10,6,13,26
56038,2015,10,5,7,51
56038,2015,10,4,3,24
56038,2015,10,3,35,35
56038,2015,10,2,4,64
56038,2015,10,1,0,52
56038,2015,9,30,1,77
56038,2015,9,29,14,75
56038,2015,9,28,8,85
56038,2015,9,27,19,81
56038,2015,9,26,11,71
56038,2015,9,25,41,39
56038,2015,9,24,43,50
56038,2015,9,23,19,83
56038,2015,9,22,3,58
56038,2015,9,21,30,73
56038,2015,9,20,12,42
56038,2015,9,19,3,60
56038,2015,9,18,19,56
56038,2015,9,17,35,58
56038,2015,9,16,26,56
56038,2015,9,15,1,76
56038,2015,9,14,10,62
56038,2015,9,13,16,50
56038,2015,9,12,23,74
56038,2015,9,11,148,64
56038,2015,9,10,183,88
56038,2015,9,9,42,98
56038,2015,9,8,34,96
56038,2015,9,7,70,103
56038,2015,9,6,51,92
56038,2015,9,5,2,100
56038,2015,9,4,33,91
56038,2015,9,3,119,84
56038,2015,9,2,3,100
56038,2015,9,1,8,92
56038,2015,8,31,93,76
56038,2015,8,30,114,64
56038,2015,8,29,21,71
56038,2015,8,28,3,58
56038,2015,8,27,1,99
56038,2015,8,26,2,105
56038,2015,8,25,0,72
56038,2015,8,24,37,81
56038,2015,8,23,0,62
56038,2015,8,22,11,51
56038,2015,8,21,0,50
56038,2015,8,20,0,55
56038,2015,8,19,78,36
56038,2015,8,18,43,65
56038,2015,8,17,2,87
56038,2015,8,16,9,107
56038,2015,8,15,59,90
56038,2015,8,14,5,108
56038,2015,8,13,6,94
56038,2015,8,12,2,99
56038,2015,8,11,2,86
56038,2015,8,10,6,66
56038,2015,8,9,0,68
56038,2015,8,8,7,60
56038,2015,8,7,99,70
56038,2015,8,6,40,66
56038,2015,8,5,11,81
56038,2015,8,4,55,100
56038,2015,8,3,13,113
56038,2015,8,2,5,118
56038,2015,8,1,0,109
56038,2015,7,31,0,111
56038,2015,7,30,5,101
56038,2015,7,29,33,91
56038,2015,7,28,0,113
56038,2015,7,27,6,82
56038,2015,7,26,7,60
56038,2015,7,25,2,70
56038,2015,7,24,0,60
56038,2015,7,23,0,66
56038,2015,7,22,0,66
56038,2015,7,21,7,62
56038,2015,7,20,1,75
56038,2015,7,19,0,57
56038,2015,7,18,0,48
56038,2015,7,17,1,44
56038,2015,7,16,3,38
56038,2015,7,15,0,52
56038,2015,7,14,3,77
56038,2015,7,13,0,107
56038,2015,7,12,12,110
56038,2015,7,11,1,114
56038,2015,7,10,2,80
56038,2015,7,9,15,71
56038,2015,7,8,100,67
56038,2015,7,7,4,83
56038,2015,7,6,1,74
56038,2015,7,5,0,60
56038,2015,7,4,113,49
56038,2015,7,3,127,99
56038,2015,7,2,34,125
56038,2015,7,1,38,117
56038,2015,6,30,32,110
56038,2015,6,29,60,124
56038,2015,6,28,1,144
56038,2015,6,27,10,135
56038,2015,6,26,0,123
56038,2015,6,25,28,120
56038,2015,6,24,0,123
56038,2015,6,23,77,82
56038,2015,6,22,57,90
56038,2015,6,21,1,83
56038,2015,6,20,5,78
56038,2015,6,19,135,52
56038,2015,6,18,94,81
56038,2015,6,17,24,75
56038,2015,6,16,10,96
56038,2015,6,15,66,71
56038,2015,6,14,64,41
56038,2015,6,13,19,70
56038,2015,6,12,80,75
56038,2015,6,11,0,78
56038,2015,6,10,0,52
56038,2015,6,9,13,39
56038,2015,6,8,6,35
56038,2015,6,7,29,35
56038,2015,6,6,141,54
56038,2015,6,5,3,95
56038,2015,6,4,6,62
56038,2015,6,3,15,78
56038,2015,6,2,86,65
56038,2015,6,1,80,58
56038,2015,5,31,49,62
56038,2015,5,30,0,61
56038,2015,5,29,26,28
56038,2015,5,28,82,37
56038,2015,5,27,44,100
56038,2015,5,26,0,76
56038,2015,5,25,25,56
56038,2015,5,24,30,55
56038,2015,5,23,25,43
56038,2015,5,22,8,26
56038,2015,5,21,15,28
56038,2015,5,20,28,54
56038,2015,5,19,1,68
56038,2015,5,18,0,41
56038,2015,5,17,1,36
56038,2015,5,16,98,17
56038,2015,5,15,39,55
